TICKER,COMPANY_NAME,GAP_TYPE,DETAIL
3088,(株)マツキヨココカラ＆カンパニー,B,"BQ有・月次カテゴリなし（決算短信, 役員異動（代表クラス））"
3094,(株)スーパーバリュー,D,GCS月次PDFなし（ダウンロード不備）
3098,,D,GCS月次PDFなし（ダウンロード不備）
3136,,D,GCS月次PDFなし（ダウンロード不備）
3141,,D,GCS月次PDFなし（ダウンロード不備）
3148,(株)クリエイトＳＤホールディングス,D,GCS月次PDFなし（ダウンロード不備）
3169,(株)ミサワ,B,"BQ有・月次カテゴリなし（決算短信, 自己株式取得, 業績予想, 中期経営計画）"
3194,,D,GCS月次PDFなし（ダウンロード不備）
3196,(株)ホットランドホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 特別損失, 特別損益計上, 配当）"
3197,(株)すかいらーくホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, その他（未分類）, 自己株式取得, 配当）"
3222,ユナイテッド・スーパーマーケット・ホールディングス,B,"BQ有・月次カテゴリなし（業績修正, その他（未分類））"
3224,(株)ゼネラル・オイスター,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
3266,(株)ファンドクリエーショングループ,D,GCS月次PDFなし（ダウンロード不備）
3275,,D,GCS月次PDFなし（ダウンロード不備）
3329,東和フードサービス,B,"BQ有・月次カテゴリなし（決算短信, 株主優待, その他（未分類））"
3349,(株)コスモス薬品,D,GCS月次PDFなし（ダウンロード不備）
3359,(株)ｃｏｔｔａ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
3370,(株)フジタコーポレーション,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 株主優待）"
3382,(株)セブン＆アイ・ホールディングス,B,BQ有・月次カテゴリなし（自己株式取得）
3395,(株)サンマルクホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 事業・子会社売却, 自己株式消却）"
3397,(株)トリドールホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
3399,(株)丸千代山岡家,B,"BQ有・月次カテゴリなし（その他（未分類）, 配当変更（増減配）, 中期経営計画, 配当変更, 役員異動（代表クラス））"
3407,旭化成,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 自己株式取得）"
3457,(株)Ａｎｄ Ｄｏホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 業績修正, 事業・子会社売却）"
3543,(株)コメダホールディングス,D,GCS月次PDFなし（ダウンロード不備）
3544,サツドラホールディングス,D,GCS月次PDFなし（ダウンロード不備）
3548,(株)バロックジャパンリミテッド,D,GCS月次PDFなし（ダウンロード不備）
3561,(株)力の源ホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
3563,(株)ＦＯＯＤ ＆ ＬＩＦＥ ＣＯＭＰＡＮＩＥＳ,B,BQ有・月次カテゴリなし（決算短信）
3591,(株)ワコールホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 役員異動（代表クラス））"
3649,(株)ファインデックス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類）, 配当変更, 配当変更（増減配））"
3674,(株)オークファン,B,"BQ有・月次カテゴリなし（その他（未分類）, 決算短信）"
3678,(株)メディアドゥ,B,"BQ有・月次カテゴリなし（その他（未分類）, 役員異動（代表クラス））"
3834,(株)朝日ネット,B,BQ有・月次カテゴリなし（決算短信）
3901,マークラインズ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 配当変更, 配当変更（増減配）, その他（未分類））"
3902,メディカル・データ・ビジョン,B,"BQ有・月次カテゴリなし（株式分割・併合, 決算短信, TOB・MBO, その他（未分類）, 決算説明資料, 自己株式消却, 特別損益計上, 特別損失）"
3910,(株)エムケイシステム,B,BQ有・月次カテゴリなし（決算短信）
3927,(株)フーバーブレイン,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 子会社化・買収, その他（未分類））"
3931,(株)バリューゴルフ,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 特別損失）"
3960,,D,GCS月次PDFなし（ダウンロード不備）
3995,,D,GCS月次PDFなし（ダウンロード不備）
3999,,D,GCS月次PDFなし（ダウンロード不備）
4014,(株)カラダノート,D,GCS月次PDFなし（ダウンロード不備）
4019,(株)スタメン,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 業績予想, その他（未分類））"
4177,(株)ｉ―ｐｌｕｇ,B,"BQ有・月次カテゴリなし（決算説明資料, その他（未分類）, 決算短信）"
4199,ワンダープラネット,D,GCS月次PDFなし（ダウンロード不備）
4204,積水化学工業,B,"BQ有・月次カテゴリなし（決算短信, 自己株式取得, 役員異動（代表クラス））"
4245,(株)ダイキアクシス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, その他（未分類）, 特別損失, 特別損益計上）"
4343,(株)イオンファンタジー,B,BQ有・月次カテゴリなし（その他（未分類））
4350,(株)メディカルシステムネットワーク,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
4393,(株)バンク・オブ・イノベーション,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
4431,(株)スマレジ,B,"BQ有・月次カテゴリなし（決算短信, 合併・組織再編）"
4641,(株)アルプス技研,B,"BQ有・月次カテゴリなし（決算短信, 配当変更（増減配）, 中期経営計画, 配当変更）"
4659,(株)エイジス,B,"BQ有・月次カテゴリなし（TOB・MBO, 決算短信, 配当変更, 配当変更（増減配）, その他（未分類）, 子会社化・買収）"
4679,(株)田谷,B,"BQ有・月次カテゴリなし（決算短信, 株主優待）"
4680,(株)ラウンドワン,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類））"
4732,(株)ユー・エス・エス,B,"BQ有・月次カテゴリなし（決算短信, 業績修正）"
4755,楽天グループ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 配当, 特別損益計上, 特別損失）"
4839,(株)ＷＯＷＯＷ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 決算説明資料）"
5025,(株)マーキュリー,B,"BQ有・月次カテゴリなし（特別利益, 特別損益計上）"
5259,ＢＢＤイニシアティブ,B,"BQ有・月次カテゴリなし（決算説明資料, 合併・組織再編, 決算短信, 株主優待）"
5580,(株)プロディライト,D,GCS月次PDFなし（ダウンロード不備）
5589,(株)オートサーバー,B,BQ有・月次カテゴリなし（その他（未分類））
5888,ＤＡＩＷＡ ＣＹＣＬＥ,B,"BQ有・月次カテゴリなし（その他（未分類）, 配当変更（増減配）, 特別損失）"
5891,(株)魁力屋,D,GCS月次PDFなし（ダウンロード不備）
5938,(株)ＬＩＸＩＬ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信）"
6028,,D,GCS月次PDFなし（ダウンロード不備）
6030,(株)アドベンチャー,B,BQ有・月次カテゴリなし（自己株式取得）
6071,(株)ＩＢＪ,B,BQ有・月次カテゴリなし（その他（未分類））
6073,(株)アサンテ,D,GCS月次PDFなし（ダウンロード不備）
6083,ＥＲＩホールディングス,D,GCS月次PDFなし（ダウンロード不備）
6175,,D,GCS月次PDFなし（ダウンロード不備）
6181,タメニー,D,GCS月次PDFなし（ダウンロード不備）
6191,(株)エアトリ,D,GCS月次PDFなし（ダウンロード不備）
6195,(株)ホープ,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 自己株式取得）"
6197,(株)ソラスト,B,BQ有・月次カテゴリなし（自己株式取得）
6200,(株)インソース,B,BQ有・月次カテゴリなし（決算短信）
6264,(株)マルマエ,B,"BQ有・月次カテゴリなし（業績修正, 株式分割・併合, 特別利益, 特別損益計上）"
6301,コマツ,D,GCS月次PDFなし（ダウンロード不備）
6412,(株)平和,B,BQ有・月次カテゴリなし（決算短信）
6522,(株)アスタリスク,D,GCS月次PDFなし（ダウンロード不備）
6537,ＷＡＳＨハウス,B,BQ有・月次カテゴリなし（業績予想）
6547,(株)グリーンズ,D,GCS月次PDFなし（ダウンロード不備）
6556,,D,GCS月次PDFなし（ダウンロード不備）
6571,キュービーネットホールディングス,B,BQ有・月次カテゴリなし（その他（未分類））
6580,(株)ライトアップ,D,GCS月次PDFなし（ダウンロード不備）
6627,(株)テラプローブ,B,BQ有・月次カテゴリなし（決算短信）
6752,パナソニック ホールディングス,D,GCS月次PDFなし（ダウンロード不備）
6844,新電元工業,B,"BQ有・月次カテゴリなし（業績修正, 特別損失, その他（未分類））"
7066,(株)ピアズ,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 合併・組織再編, 主要株主異動）"
7086,,D,GCS月次PDFなし（ダウンロード不備）
7088,(株)フォーラムエンジニアリング,B,"BQ有・月次カテゴリなし（TOB・MBO, 第三者割当・公募増資, 決算短信, 業績修正, 自己株式消却）"
7091,(株)リビングプラットフォーム,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 合併・組織再編, その他（未分類））"
7157,ライフネット生命保険,B,"BQ有・月次カテゴリなし（決算説明資料, 業績修正, その他（未分類））"
7162,アストマックス,B,"BQ有・月次カテゴリなし（決算説明資料, その他（未分類））"
7177,ＧＭＯフィナンシャルホールディングス,D,GCS月次PDFなし（ダウンロード不備）
7201,日産自動車,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 資産売却（不動産）, 業績修正）"
7202,いすゞ自動車,B,"BQ有・月次カテゴリなし（決算短信, 役員異動（代表クラス））"
7203,トヨタ自動車,B,"BQ有・月次カテゴリなし（TOB・MBO, その他（未分類）, 株主優待, 役員異動（代表クラス）, 子会社設立）"
7205,日野自動車,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 業績修正, 訴訟・法的, 自己株式消却, 役員異動（代表クラス）, 第三者割当・公募増資）"
7211,三菱自動車,B,BQ有・月次カテゴリなし（役員異動（代表クラス））
7261,マツダ,D,GCS月次PDFなし（ダウンロード不備）
7267,ホンダ,D,GCS月次PDFなし（ダウンロード不備）
7269,スズキ,B,"BQ有・月次カテゴリなし（決算短信, 配当変更（増減配））"
7270,(株)ＳＵＢＡＲＵ,B,"BQ有・月次カテゴリなし（決算短信, 業績修正）"
7330,,D,GCS月次PDFなし（ダウンロード不備）
7338,,D,GCS月次PDFなし（ダウンロード不備）
7345,(株)アイ・パートナーズフィナンシャル,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類））"
7359,(株)東京通信グループ,B,"BQ有・月次カテゴリなし（決算短信, 業績修正, その他（未分類））"
7372,(株)デコルテ・ホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料）"
7378,(株)アシロ,B,"BQ有・月次カテゴリなし（主要株主異動, 自己株式取得）"
7412,(株)アトム,B,"BQ有・月次カテゴリなし（決算短信, 業績修正）"
7416,(株)はるやまホールディングス,B,BQ有・月次カテゴリなし（決算短信）
7421,カッパ・クリエイト,B,BQ有・月次カテゴリなし（決算短信）
7448,,D,GCS月次PDFなし（ダウンロード不備）
7453,(株)良品計画,B,BQ有・月次カテゴリなし（主要株主異動）
7455,(株)パリミキホールディングス,B,"BQ有・月次カテゴリなし（株式分割・併合, その他（未分類）, 決算短信, 自己株式消却）"
7475,アルビス,B,BQ有・月次カテゴリなし（決算短信）
7494,(株)コナカ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
7502,(株)プラザホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 立会外分売, 役員異動（代表クラス））"
7506,(株)ハウス オブ ローゼ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 業績修正, 特別損益計上, 特別利益）"
7512,イオン北海道,D,GCS月次PDFなし（ダウンロード不備）
7513,(株)コジマ,D,GCS月次PDFなし（ダウンロード不備）
7514,(株)ヒマラヤ,D,GCS月次PDFなし（ダウンロード不備）
7516,コーナン商事,B,BQ有・月次カテゴリなし（TOB・MBO）
7522,ワタミ,B,BQ有・月次カテゴリなし（決算短信）
7544,(株)スリーエフ,B,"BQ有・月次カテゴリなし（業績修正, 配当変更（増減配）, 配当変更）"
