pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_7751_6615,7751,キヤノン,6615,ユー・エム・シー・エレクトロニクス株式会社,direct,ユー・エム・シー・エレクトロニクス株式会社の売上14.1%がキヤノンに依存,14.1,,,edinet_yuho_2025
D_6723_6627,6723,ルネサスエレクトロニクス,6627,株式会社テラプローブ,direct,株式会社テラプローブの売上35.8%がルネサスエレクトロニクスに依存,35.8,,,edinet_yuho_2025
D_6503_6647,6503,三菱電機,6647,森尾電機株式会社,direct,森尾電機株式会社の売上16.5%が三菱電機に依存,16.5,,,edinet_yuho_2025
D_005930.KS_6677,005930.KS,Samsung,6677,株式会社エスケーエレクトロニクス,direct,株式会社エスケーエレクトロニクスの売上23.0%がSamsungに依存,23.0,,,edinet_yuho_2025
D_3481.TW_6677,3481.TW,Innolux,6677,株式会社エスケーエレクトロニクス,direct,株式会社エスケーエレクトロニクスの売上10.7%がInnoluxに依存,10.7,,,edinet_yuho_2025
D_3132_6769,3132,マクニカホールディングス,6769,ザインエレクトロニクス株式会社,direct,ザインエレクトロニクス株式会社の売上21.3%がマクニカホールディングスに依存,21.3,,,edinet_yuho_2025
D_8154_6769,8154,加賀電子,6769,ザインエレクトロニクス株式会社,direct,ザインエレクトロニクス株式会社の売上10.6%が加賀電子に依存,10.6,,,edinet_yuho_2025
D_7517_6787,7517,黒田電気,6787,株式会社メイコー,direct,株式会社メイコーの売上10.8%が黒田電気に依存,10.8,,,edinet_yuho_2025
D_7974_6804,7974,任天堂,6804,ホシデン株式会社,direct,コネクタ・周辺機器OEM・生産受託(売上約67%),57.4,,,edinet_yuho_2025
D_3107_6836,3107,ダイワボウホールディングス,6836,ぷらっとホーム株式会社,direct,ぷらっとホーム株式会社の売上22.8%がダイワボウホールディングスに依存,22.8,,,edinet_yuho_2025
D_4378_6836,4378,ＣＩＮＣ,6836,ぷらっとホーム株式会社,direct,ぷらっとホーム株式会社の売上15.1%がＣＩＮＣに依存,15.1,,,edinet_yuho_2025
D_9042_6836,9042,阪急阪神ホールディングス,6836,ぷらっとホーム株式会社,direct,ぷらっとホーム株式会社の売上11.0%が阪急阪神ホールディングスに依存,11.0,,,edinet_yuho_2025
D_3107_6862,3107,ダイワボウホールディングス,6862,ミナトホールディングス株式会社,direct,ミナトホールディングス株式会社の売上16.5%がダイワボウホールディングスに依存,16.5,,,edinet_yuho_2025
D_8036_6894,8036,日立ハイテク,6894,パルステック工業株式会社,direct,パルステック工業株式会社の売上19.2%が日立ハイテクに依存,19.2,,,edinet_yuho_2025
D_7717_6927,7717,ブイ・テクノロジー,6927,ヘリオス テクノ ホールディング株式会社,direct,ヘリオス テクノ ホールディング株式会社の売上23.2%がブイ・テクノロジーに依存,23.2,,,edinet_yuho_2025
D_4324_7050,4324,電通グループ,7050,株式会社フロンティアインターナショナル,direct,株式会社フロンティアインターナショナルの売上10.0%が電通グループに依存,10.0,,,edinet_yuho_2025
D_3133_7063,3133,海帆,7063,株式会社Birdman,direct,株式会社Birdmanの売上25.1%が海帆に依存,25.1,,,edinet_yuho_2025
D_7912_7063,7912,大日本印刷,7063,株式会社Birdman,direct,株式会社Birdmanの売上15.2%が大日本印刷に依存,15.2,,,edinet_yuho_2025
